"","j_sys_pwsid","j_pop","j_conn","j_sys_name","j_county","j_class_new","r_sys_pwsid","r_sys_name","r_type","r_county","route_name","distance_feet","merge_type","elevation_j","elevation_r","route_elev_min","route_elev_max","route_elev_mean","route_elev_range"
"339","CA1009039",25,13,"PAPPAS & CO (MENDOTA)","FRESNO","SWS","CA1010007","CITY OF FRESNO","Community water system","FRESNO",NA,0,"Intersect",0,0,0,0,0,0
"340","CA1010042",5979,462,"MALAGA COUNTY WATER DISTRICT","FRESNO","SWS","CA1010007","CITY OF FRESNO","Community water system","FRESNO","CA1010042 MALAGA COUNTY WATER DISTRICT - CA1010007 CITY OF FRESNO",4814.77433647584,"Route",90.39213,96.43071,89.26659,96.43071,90.530774,7.16412
"341","CA1010055",1982,710,"FCSA #47/QUAIL LAKE ESTATES","FRESNO","SWS","CA1010003","CITY OF CLOVIS","Community water system","FRESNO","CA1010055 FCSA #47/QUAIL LAKE ESTATES - CA1010003 CITY OF CLOVIS",7995.6635021472,"Route",119.68185,116.52541,116.52541,121.21046,118.506369,4.68505
"342","CA1010057",190,18,"FRESNO CITY WASTEWATER PLANT","FRESNO","SWS","CA1010007","CITY OF FRESNO","Community water system","FRESNO","CA1010057 FRESNO CITY WASTEWATER PLANT - CA1010007 CITY OF FRESNO",14660.0543650176,"Route",76.63242,81.61899,76.943,83.53654,80.430718,6.59354
"343","CA1010060",264,1,"FRESNO POLICE TRAINING FACILITY","FRESNO","SWS","CA1010007","CITY OF FRESNO","Community water system","FRESNO","CA1010060 FRESNO POLICE TRAINING FACILITY - CA1010007 CITY OF FRESNO",5311.803819432,"Route",73.9785,73.63699,73.63699,74.42368,73.89922,0.78669
"344","CA1100103",140,1,"ORLAND LDS CHURCH","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100103 ORLAND LDS CHURCH - CA1110001 CITY OF ORLAND",437.276479363152,"Route",77.5453,76.43588,76.43588,77.25453,76.959443,0.81865
"345","CA1100237",190,87,"WILLOWS MOBILE HOME COMMUNITY & RV PARK","GLENN","SWS","CA1110003","CAL-WATER SERVICE CO.-WILLOWS","Community water system","GLENN","CA1100237 WILLOWS MOBILE HOME COMMUNITY & RV PARK - CA1110003 CAL-WATER SERVICE CO.-WILLOWS",4491.19238168304,"Route",44.34831,43.02175,43.02175,45.15702,43.836,2.13527
"346","CA1100254",27,15,"VOYLES TRAILER PARK","GLENN","SWS","CA1110003","CAL-WATER SERVICE CO.-WILLOWS","Community water system","GLENN","CA1100254 VOYLES TRAILER PARK - CA1110003 CAL-WATER SERVICE CO.-WILLOWS",1124.40264716208,"Route",42.46804,42.31101,42.07983,42.44602,42.278953,0.36619
"347","CA1100404",284,85,"DEL ORO WC - BLACK BUTTE DISTRICT","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100404 DEL ORO WC - BLACK BUTTE DISTRICT - CA1110001 CITY OF ORLAND",2567.94880785696,"Route",82.37283,81.1336,81.1336,83.20609,82.260199,2.07249
"348","CA1100413",40,33,"COUNTRY LEISURE MOBILE ESTATES","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100413 COUNTRY LEISURE MOBILE ESTATES - CA1110001 CITY OF ORLAND",8745.8423079456,"Route",66.30479,73.16224,66.18678,73.16224,69.425932,6.97546
"349","CA1100436",186,83,"ORLAND OAKS MHP","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100436 ORLAND OAKS MHP - CA1110001 CITY OF ORLAND",2618.6941816464,"Route",82.36146,81.1336,81.1336,83.20609,82.258969,2.07249
"350","CA1100439",25,1,"THE PARKWAY RV RESORT","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100439 THE PARKWAY RV RESORT - CA1110001 CITY OF ORLAND",3103.1251868496,"Route",83.69049,81.5131,81.50909,83.72795,83.15083,2.21886
"351","CA1100440",205,1,"LAKE ELEMENTARY SCHOOL","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100440 LAKE ELEMENTARY SCHOOL - CA1110001 CITY OF ORLAND",14892.4588646064,"Route",73.30334,80.53861,73.22003,83.35966,79.075947,10.13963
"352","CA1100443",43,1,"ORLAND LIVESTOCK COMM. YARD, INC.","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100443 ORLAND LIVESTOCK COMM. YARD, INC. - CA1110001 CITY OF ORLAND",11888.3974911504,"Route",71.03735,76.2716,71.12646,76.27959,74.980234,5.15313
"353","CA1100444",200,74,"ORLAND ESTATES MOBILE H.P.","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100444 ORLAND ESTATES MOBILE H.P. - CA1110001 CITY OF ORLAND",2665.998274236,"Route",81.36109,79.85584,79.0023,82.18938,80.663191,3.18708
"354","CA1100445",178,54,"ORLAND MOBILE H.P.","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100445 ORLAND MOBILE H.P. - CA1110001 CITY OF ORLAND",608.5334210208,"Route",75.67358,76.27959,75.67349,76.27959,76.077374,0.6061
"355","CA1100452",62,43,"SHADY OAKS TRAILER PARK","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1100452 SHADY OAKS TRAILER PARK - CA1110001 CITY OF ORLAND",1835.49594507312,"Route",79.38051,80.53861,77.20477,81.03424,80.23807,3.82947
"356","CA1105001",39,6,"SOUTH WILLOWS INDUSTRIAL PARK","GLENN","SWS","CA1110003","CAL-WATER SERVICE CO.-WILLOWS","Community water system","GLENN","CA1105001 SOUTH WILLOWS INDUSTRIAL PARK - CA1110003 CAL-WATER SERVICE CO.-WILLOWS",5617.7371655856,"Route",36.78491,39.55671,36.81108,39.55671,38.020603,2.74563
"357","CA1105003",30,2,"CITY OF ORLAND, HAIGH FIELD PARK","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1105003 CITY OF ORLAND, HAIGH FIELD PARK - CA1110001 CITY OF ORLAND",10025.3057307216,"Route",63.82677,67.77026,63.52189,69.29411,65.656825,5.77222
"358","CA1105005",120,7,"OLIVAREZ HONEY BEES","GLENN","SWS","CA1110001","CITY OF ORLAND","Community water system","GLENN","CA1105005 OLIVAREZ HONEY BEES - CA1110001 CITY OF ORLAND",6550.3645593936,"Route",78.52007,76.2716,74.93854,79.13142,76.176835,4.19288
"359","CA1110002",2607,639,"CAL-WATER SERVICE CO.-HAMILTON CITY","GLENN","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE",NA,0,"Intersect",0,0,0,0,0,0
"360","CA1110300",25,2,"IRVINE FINCH RIVER ACCESS","GLENN","SWS","CA0410002","CAL-WATER SERVICE CO.-CHICO","Community water system","BUTTE","CA1110300 IRVINE FINCH RIVER ACCESS - CA0410002 CAL-WATER SERVICE CO.-CHICO",2428.11443437728,"Route",45.72571,44.661,44.661,50.44538,46.748737,5.78438
"361","CA1200547",85,36,"MILL CREEK M.W.C.","HUMBOLDT","SWS","CA1210006","FORTUNA, CITY OF","Community water system","HUMBOLDT","CA1200547 MILL CREEK M.W.C. - CA1210006 FORTUNA, CITY OF",4658.93757340704,"Route",135.4417,69.79575,69.79575,135.4637,102.792805,65.66795
"362","CA1200590",33,14,"MOONSTONE HEIGHTS MWA","HUMBOLDT","SWS","CA1210016","MCKINLEYVILLE C.S.D.","Community water system","HUMBOLDT","CA1200590 MOONSTONE HEIGHTS MWA - CA1210016 MCKINLEYVILLE C.S.D.",14836.25562804,"Route",99.70797,5.24174,5.24174,99.79797,24.142404,94.55623
"363","CA1200648",85,1,"RIDGETOP CAFE","HUMBOLDT","SWS","CA1210006","FORTUNA, CITY OF","Community water system","HUMBOLDT","CA1200648 RIDGETOP CAFE - CA1210006 FORTUNA, CITY OF",11227.5470968848,"Route",24.98041,16.65015,12.0622,25.04847,18.10906,12.98627
"364","CA1200793",125,1,"MERRYMAN'S RESTAURANT","HUMBOLDT","SWS","CA1210016","MCKINLEYVILLE C.S.D.","Community water system","HUMBOLDT","CA1200793 MERRYMAN'S RESTAURANT - CA1210016 MCKINLEYVILLE C.S.D.",13017.6734389152,"Route",14.9585,5.24174,5.24174,34.56278,12.97448,29.32104
"365","CA1200823",300,2,"ANGELINA","HUMBOLDT","SWS","CA1210006","FORTUNA, CITY OF","Community water system","HUMBOLDT","CA1200823 ANGELINA - CA1210006 FORTUNA, CITY OF",13007.2340535456,"Route",12.2879,16.65015,12.16737,25.04847,17.924196,12.8811
"366","CA1206004",320,132,"PALMER CREEK CSD","HUMBOLDT","SWS","CA1210006","FORTUNA, CITY OF","Community water system","HUMBOLDT","CA1206004 PALMER CREEK CSD - CA1210006 FORTUNA, CITY OF",5752.323366768,"Route",58.94099,16.65015,14.79524,51.70959,20.124819,36.91435
"367","CA1206005",300,6,"BIG LAGOON - HUMBOLDT CO. PARKS","HUMBOLDT","SWS","CA1210004","EUREKA, CITY OF","Community water system","HUMBOLDT",NA,0,"Intersect",0,0,0,0,0,0
"368","CA1210013",680,206,"HUMBOLDT BAY MWD","HUMBOLDT","SWS","CA1210001","ARCATA, CITY OF","Community water system","HUMBOLDT","CA1210013 HUMBOLDT BAY MWD - CA1210001 ARCATA, CITY OF",15759.8416967904,"Route",135.27313,13.48903,4.91293,207.62712,93.285224,202.71419
"369","CA1210017",750,362,"MANILA COMMUNITY SERVICES DIST.","HUMBOLDT","SWS","CA1210004","EUREKA, CITY OF","Community water system","HUMBOLDT","CA1210017 MANILA COMMUNITY SERVICES DIST. - CA1210004 EUREKA, CITY OF",13269.9653581968,"Route",14.47378,0,0,13.99959,6.558692,13.99959
"370","CA1210019",1409,419,"HYDESVILLE CO. W.D.","HUMBOLDT","SWS","CA1210006","FORTUNA, CITY OF","Community water system","HUMBOLDT","CA1210019 HYDESVILLE CO. W.D. - CA1210006 FORTUNA, CITY OF",14968.9410506592,"Route",102.41422,125.25934,58.83062,130.04659,105.528371,71.21597
"371","CA1210021",904,330,"JACOBY CREEK CSD","HUMBOLDT","SWS","CA1210001","ARCATA, CITY OF","Community water system","HUMBOLDT",NA,0,"Intersect",0,0,0,0,0,0
"372","CA1210024",490,227,"WESTHAVEN C.S.D.","HUMBOLDT","SWS","CA1210016","MCKINLEYVILLE C.S.D.","Community water system","HUMBOLDT","CA1210024 WESTHAVEN C.S.D. - CA1210016 MCKINLEYVILLE C.S.D.",15170.7491040336,"Route",100.84453,5.24174,5.24174,101.02937,28.346519,95.78763
"373","CA1300517",200,1,"U.S. GYPSUM CO","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL",NA,0,"Intersect",0,0,0,0,0,0
"374","CA1300550",600,306,"COUNTRY LIFE MH & RV PARK","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL","CA1300550 COUNTRY LIFE MH & RV PARK - CA1310004 EL CENTRO, CITY OF",8045.5262505024,"Route",-11.01548,-12.16592,-12.16592,-10.85755,-11.357457,1.30837
"375","CA1300554",550,6,"MEADOWS UNION ELEMENTARY SCHOOL","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL","CA1300554 MEADOWS UNION ELEMENTARY SCHOOL - CA1310004 EL CENTRO, CITY OF",15143.7154216128,"Route",-12.20115,-12.72,-14.03563,-12.30065,-13.111455,1.73498
"376","CA1300561",30,1,"RED HILL MARINA","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL",NA,0,"Intersect",0,0,0,0,0,0
"377","CA1300571",49,18,"UC DESERT RESEARCH AND EXTENSION CENTER","IMPERIAL","SWS","CA1310005","HOLTVILLE, CITY OF","Community water system","IMPERIAL","CA1300571 UC DESERT RESEARCH AND EXTENSION CENTER - CA1310005 HOLTVILLE, CITY OF",13947.6470244144,"Route",-19.40647,-12.48142,-21.57554,-12.48142,-18.607097,9.09412
"378","CA1300572",70,22,"VALLEY MOBILE HOME PARK","IMPERIAL","SWS","CA1310002","CALEXICO, CITY OF","Community water system","IMPERIAL","CA1300572 VALLEY MOBILE HOME PARK - CA1310002 CALEXICO, CITY OF",360.34073865504,"Route",-0.16197,2.31883,2.31883,2.99816,2.639717,0.67933
"379","CA1300575",101,72,"DATE GARDENS MOBILE HOME PARK","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL","CA1300575 DATE GARDENS MOBILE HOME PARK - CA1310004 EL CENTRO, CITY OF",12820.2018073008,"Route",-9.566,-10.966,-10.966,-9.566,-9.986523,1.4
"380","CA1300579",1350,1,"MCCABE UNION SCHOOL","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL","CA1300579 MCCABE UNION SCHOOL - CA1310004 EL CENTRO, CITY OF",12781.2307406256,"Route",-6.30697,-7.96532,-7.966,-6.466,-6.949207,1.5
"381","CA1300614",30,1,"WIEST LAKE","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL",NA,0,"Intersect",0,0,0,0,0,0
"382","CA1300628",40,15,"IMPERIAL LAKES INC.","IMPERIAL","SWS","CA1310801","CENTINELA STATE PRISON","Community water system","IMPERIAL","CA1300628 IMPERIAL LAKES INC. - CA1310801 CENTINELA STATE PRISON",14843.1751542096,"Route",-2.97212,-5.47895,-9.568,-3.3672,-7.344791,6.2008
"383","CA1300644",300,1,"SPRECKELS SUGAR COMPANY","IMPERIAL","SWS","CA1310006","IMPERIAL, CITY OF","Community water system","IMPERIAL","CA1300644 SPRECKELS SUGAR COMPANY - CA1310006 IMPERIAL, CITY OF",14406.3877363824,"Route",-26.64277,-20.6625,-26.40045,-20.6305,-24.224812,5.76995
"384","CA1300652",30,1,"IID NORTH END CONSOLIDATION","IMPERIAL","SWS","CA1310005","HOLTVILLE, CITY OF","Community water system","IMPERIAL",NA,0,"Intersect",0,0,0,0,0,0
"385","CA1300655",200,1,"OLD EUCALYPTUS SCHOOLHOUSE","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL",NA,0,"Intersect",0,0,0,0,0,0
"386","CA1300661",74,2,"CALVARY CHAPEL CHURCH","IMPERIAL","SWS","CA1310004","EL CENTRO, CITY OF","Community water system","IMPERIAL","CA1300661 CALVARY CHAPEL CHURCH - CA1310004 EL CENTRO, CITY OF",3560.66039740752,"Route",-9.46594,-10.26533,-10.266,-9.46577,-9.965809,0.80023
"387","CA1300676",50,16,"EARTHRISE NUTRITIONALS, LLC","IMPERIAL","SWS","CA1310800","CALIPATRIA STATE PRISON","Community water system","IMPERIAL","CA1300676 EARTHRISE NUTRITIONALS, LLC - CA1310800 CALIPATRIA STATE PRISON",4949.10963556416,"Route",-54.25386,-51.18932,-54.24899,-51.18932,-52.700083,3.05967
"388","CA1310019",330,2,"DHS CALEXICO","IMPERIAL","SWS","CA1310002","CALEXICO, CITY OF","Community water system","IMPERIAL","CA1310019 DHS CALEXICO - CA1310002 CALEXICO, CITY OF",6896.295094656,"Route",5.70386,5.28615,3.90871,5.31417,4.684728,1.40546
"389","CA1400005",300,111,"OWENS VALLEY WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400005 OWENS VALLEY WATER COMPANY - CA1410001 BISHOP, CITY OF",4375.12446825168,"Route",1279.67334,1279.35132,1277.99109,1282.12781,1279.429344,4.13672
"390","CA1400007",600,215,"SIERRA HIGHLAND CSD","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400007 SIERRA HIGHLAND CSD - CA1410001 BISHOP, CITY OF",9951.683991216,"Route",1305.86548,1275.30627,1275.30627,1305.74353,1285.497544,30.43726
"391","CA1400014",167,9,"BISHOP COUNTRY CLUB","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400014 BISHOP COUNTRY CLUB - CA1410001 BISHOP, CITY OF",5130.27625224048,"Route",1265.26489,1264.05347,1262.23145,1265.26331,1263.739385,3.03186
"392","CA1400030",448,170,"GLENWOOD MOBILE ESTATES","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400030 GLENWOOD MOBILE ESTATES - CA1410001 BISHOP, CITY OF",3936.70037242416,"Route",1279.10681,1279.35132,1277.99109,1281.43445,1279.367404,3.44336
"393","CA1400031",65,27,"RANCH ROAD ESTATES MUTUAL WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400031 RANCH ROAD ESTATES MUTUAL WATER COMPANY - CA1410001 BISHOP, CITY OF",13408.0121594496,"Route",1314.70618,1275.30627,1275.30627,1327.2467,1298.335525,51.94043
"394","CA1400045",73,26,"PRIMROSE LANE APARTMENTS","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400045 PRIMROSE LANE APARTMENTS - CA1410001 BISHOP, CITY OF",1262.5529012712,"Route",1278.11328,1279.35132,1277.40918,1279.35132,1278.318096,1.94214
"395","CA1400046",150,100,"SCHOBER LANE CAMPGROUND","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400046 SCHOBER LANE CAMPGROUND - CA1410001 BISHOP, CITY OF",2966.769951552,"Route",1263.47375,1264.05347,1263.26355,1264.16626,1263.802213,0.90271
"396","CA1400055",80,2,"EASTERN SIERRA REGIONAL AIRPORT","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400055 EASTERN SIERRA REGIONAL AIRPORT - CA1410001 BISHOP, CITY OF",6597.67602648,"Route",1252.37195,1256.9259,1252.98535,1256.9259,1255.165397,3.94055
"397","CA1400056",59,21,"BROOKSIDE ESTATES MUTUAL WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400056 BROOKSIDE ESTATES MUTUAL WATER COMPANY - CA1410001 BISHOP, CITY OF",11415.6741455328,"Route",1320.52856,1275.30627,1275.30627,1327.2467,1297.275277,51.94043
"398","CA1400059",126,45,"BROOKSIDE MOBILE HOME PARK","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400059 BROOKSIDE MOBILE HOME PARK - CA1410001 BISHOP, CITY OF",8119.282175664,"Route",1289.84802,1271.50269,1271.50269,1289.84802,1276.08834,18.34533
"399","CA1400110",200,67,"PARK WEST MUTUAL WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400110 PARK WEST MUTUAL WATER COMPANY - CA1410001 BISHOP, CITY OF",8797.0416932112,"Route",1289.90686,1275.30627,1275.30627,1296.89636,1284.751761,21.59009
"400","CA1400111",764,284,"MEADOWCREEK MUTUAL WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400111 MEADOWCREEK MUTUAL WATER COMPANY - CA1410001 BISHOP, CITY OF",6456.992117664,"Route",1278.55396,1279.35132,1275.25867,1279.35132,1277.463054,4.09265
"401","CA1400131",250,5,"KATHERINA MULLER WATER SYSTEM","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400131 KATHERINA MULLER WATER SYSTEM - CA1410001 BISHOP, CITY OF",823.87753983744,"Route",1277.64209,1279.35132,1277.42725,1279.35132,1278.625133,1.92407
"402","CA1400135",129,48,"WILSON CIRCLE MUTUAL WATER COMPANY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400135 WILSON CIRCLE MUTUAL WATER COMPANY - CA1410001 BISHOP, CITY OF",5821.5647299392,"Route",1275.34961,1279.35132,1274.62048,1279.35132,1277.186388,4.73084
"403","CA1400136",104,36,"EASTERN SIERRA TRI COUNTY FAIR","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO",NA,0,"Intersect",0,0,0,0,0,0
"404","CA1400144",42,26,"SUNLAND VILLAGE MOBILE HOME PARK","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400144 SUNLAND VILLAGE MOBILE HOME PARK - CA1410001 BISHOP, CITY OF",1517.26232107296,"Route",1273.54382,1271.50269,1271.50269,1273.46179,1272.189087,1.9591
"405","CA1400147",48,3,"PETITE PANTRY","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400147 PETITE PANTRY - CA1410001 BISHOP, CITY OF",1551.3231806424,"Route",1278.94849,1279.35132,1277.40918,1279.35132,1278.399316,1.94214
"406","CA1400511",22,16,"MEADOW LAKE APARTMENTS","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400511 MEADOW LAKE APARTMENTS - CA1410001 BISHOP, CITY OF",2479.27593828816,"Route",1281.23975,1279.35132,1277.99109,1281.69177,1279.249996,3.70068
"407","CA1400518",25,15,"VAN LOON WATER ASSOCIATION","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1400518 VAN LOON WATER ASSOCIATION - CA1410001 BISHOP, CITY OF",7808.3915338704,"Route",1250.42896,1256.9259,1249.50684,1256.9259,1253.858361,7.41906
"408","CA1400532",50,4,"HORTON CREEK CAMPGROUND","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO",NA,0,"Intersect",0,0,0,0,0,0
"409","CA1410005",1030,297,"INDIAN CREEK CSD","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1410005 INDIAN CREEK CSD - CA1410001 BISHOP, CITY OF",8660.3366418096,"Route",1310.42578,1275.30627,1275.30627,1310.80713,1291.307036,35.50086
"410","CA1410007",1400,500,"HIGHLAND MOBILE HOME PARK","INYO","SWS","CA1410001","BISHOP, CITY OF","Community water system","INYO","CA1410007 HIGHLAND MOBILE HOME PARK - CA1410001 BISHOP, CITY OF",3389.05938577008,"Route",1276.58008,1279.35132,1276.64648,1279.35132,1278.003594,2.70484
"411","CA1500050",115,1,"LEHIGH SOUTHWEST CEMENT COMPANY","KERN","SWS","CA1510020","TEHACHAPI, CITY OF","Community water system","KERN","CA1500050 LEHIGH SOUTHWEST CEMENT COMPANY - CA1510020 TEHACHAPI, CITY OF",7355.6851032192,"Route",1214.96594,1234.47498,1214.1499,1235.4248,1227.077098,21.2749
"412","CA1500096",128,14,"OLD RIVER MUTUAL WATER COMPANY","KERN","SWS","CA1510031","BAKERSFIELD, CITY OF","Community water system","KERN","CA1500096 OLD RIVER MUTUAL WATER COMPANY - CA1510031 BAKERSFIELD, CITY OF",501.810434822928,"Route",104.53676,104.64348,104.49398,104.64348,104.616167,0.1495
"413","CA1500211",433,143,"STOCKDALE ANNEX MUTUAL WATER","KERN","SWS","CA1510031","BAKERSFIELD, CITY OF","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"414","CA1500231",849,173,"VICTORY MUTUAL WATER COMPANY","KERN","SWS","CA1510003","CWS - BAKERSFIELD","Community water system","KERN","CA1500231 VICTORY MUTUAL WATER COMPANY - CA1510003 CWS - BAKERSFIELD",4070.78563139424,"Route",127.5081,120.94275,120.94275,127.5081,124.33234,6.56535
"415","CA1500314",297,90,"DEL ORO WC - COUNTRY ESTATES DIST","KERN","SWS","CA1510003","CWS - BAKERSFIELD","Community water system","KERN","CA1500314 DEL ORO WC - COUNTRY ESTATES DIST - CA1510003 CWS - BAKERSFIELD",8168.1256322688,"Route",130.7155,120.94275,120.94275,130.52328,125.229444,9.58053
"416","CA1500324",89,33,"WONDER ACRES WATER SYSTEM","KERN","SWS","CA1510032","CALIFORNIA CITY, CITY OF","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"417","CA1500333",171,80,"CWS - FREMONT VALLEY","KERN","SWS","CA1510032","CALIFORNIA CITY, CITY OF","Community water system","KERN","CA1500333 CWS - FREMONT VALLEY - CA1510032 CALIFORNIA CITY, CITY OF",8680.7245171152,"Route",707.85864,724.97223,706.4259,724.97223,712.640513,18.54633
"418","CA1500340",150,36,"WEST TEHACHAPI MUTUAL","KERN","SWS","CA1510020","TEHACHAPI, CITY OF","Community water system","KERN","CA1500340 WEST TEHACHAPI MUTUAL - CA1510020 TEHACHAPI, CITY OF",2520.7967763264,"Route",1213.90674,1199.14343,1198.20715,1213.13318,1204.663119,14.92603
"419","CA1500344",32,15,"SOUTH KERN MUTUAL WATER COMPANY","KERN","SWS","CA1510031","BAKERSFIELD, CITY OF","Community water system","KERN","CA1500344 SOUTH KERN MUTUAL WATER COMPANY - CA1510031 BAKERSFIELD, CITY OF",861.77003154,"Route",104.39532,104.64348,104.38776,104.64348,104.584419,0.25572
"420","CA1500349",200,81,"STOCKDALE MUTUAL WATER CO.","KERN","SWS","CA1510031","BAKERSFIELD, CITY OF","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"421","CA1500374",149,45,"CWS-GRAND OAKS WATER SYSTEM","KERN","SWS","CA1510045","GOLDEN HILLS CSD","Community water system","KERN","CA1500374 CWS-GRAND OAKS WATER SYSTEM - CA1510045 GOLDEN HILLS CSD",2549.40764183952,"Route",1276.37341,1203.13062,1203.13062,1232.91541,1214.5094,29.78479
"422","CA1500378",150,50,"MAHER MUTUAL WATER COMPANY","KERN","SWS","CA1510029","VAUGHN WC INC","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"423","CA1500380",200,90,"DE RANCHO Y MOBILE VILLA WATER","KERN","SWS","CA1510003","CWS - BAKERSFIELD","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"424","CA1500396",25,25,"DESERT PARADISE RV PARK WATER SYSTEM","KERN","SWS","CA1510018","ROSAMOND CSD","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"425","CA1500409",462,155,"BROCK MUTUAL WATER COMPANY","KERN","SWS","CA1510029","VAUGHN WC INC","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"426","CA1500424",174,63,"LANDS OF PROMISE MWC","KERN","SWS","CA1510018","ROSAMOND CSD","Community water system","KERN","CA1500424 LANDS OF PROMISE MWC - CA1510018 ROSAMOND CSD",930.72571960896,"Route",779.87787,776.7995,776.7995,779.86566,778.705017,3.06616
"427","CA1500426",65,32,"ROSE VILLA APARTMENTS","KERN","SWS","CA1510018","ROSAMOND CSD","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"428","CA1500447",150,60,"SIERRA BREEZE MUTUAL WATER COMPANY","KERN","SWS","CA1510017","INDIAN WELLS VALLEY W.D.","Community water system","KERN","CA1500447 SIERRA BREEZE MUTUAL WATER COMPANY - CA1510017 INDIAN WELLS VALLEY W.D.",2279.80902604752,"Route",737.71082,735.40741,735.40741,737.92084,736.164445,2.51343
"429","CA1500452",750,290,"RIVERDALE VILLAGE","KERN","SWS","CA1510015","OILDALE MWC","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"430","CA1500483",195,59,"ALLEN ROAD MUTUAL WATER SYSTEM","KERN","SWS","CA1510031","BAKERSFIELD, CITY OF","Community water system","KERN","CA1500483 ALLEN ROAD MUTUAL WATER SYSTEM - CA1510031 BAKERSFIELD, CITY OF",464.644035402096,"Route",110.78252,110.90443,110.78252,110.90443,110.843475,0.12191
"431","CA1500485",60,28,"ANTELOPE VALLEY MOBILE ESTATES","KERN","SWS","CA1510018","ROSAMOND CSD","Community water system","KERN",NA,0,"Intersect",0,0,0,0,0,0
"432","CA1500489",89,27,"BRITE LAKE MUTUAL WATER COMPANY","KERN","SWS","CA1510045","GOLDEN HILLS CSD","Community water system","KERN","CA1500489 BRITE LAKE MUTUAL WATER COMPANY - CA1510045 GOLDEN HILLS CSD",9411.4195265904,"Route",1335.53113,1268.87915,1263.26501,1341.29114,1287.160114,78.02613
